,Name,Distance,Mass,Radius,Star_name
38,Kaus Australis,0140,3.5,6.8,2MASS J03552337+1133437
39,Avior,0630,9.0,130,2MASS J04151954−0935066
40,Alkaid,0104,6.1,3.4,2MASS J04285096-2253227 [de]
41,Menkalinan,081,2.39,2.77,2MASS J04351612-1606574
42,Atria,0390,7,92,2MASS J04362788-4114465
43,Alhena,0109,2.8,3.3,2MASS J04390101-2353083 [de]
44,Peacock,0180,5.9,4.8,2MASS J04433764+0002040
45,Alsephina[2],0080,2.4,2.9,2MASS J04455387-3048204 [de]
46,Mirzam,0500,13.5,10,2MASS J04510093-3402150 [de]
47,Polaris,0430,5.4,39,2MASS J05002100+0330501 [de]
48,Alphard,0180,3.0,50,2MASS J05012406-0010452 [de]
49,Mintaka,01200,24,16.5,2MASS J05160945-0445499 [de]
50,Scheat,0196,2.1,95,2MASS J0523−1403
51,Almaaz,0653,15,140,SDSS J053951.99-005902.0
52,Rasalgethi,0360,2.8,280,LSR 0602+3910 [de]
53,Tau Ceti,011.9,0.783,0.893,2MASS J06085283-2753583
54,Delta Pavonis,019.92,0.991,1.22,2MASS J06244595-4521548 [de]
55,Ran,010.48,0.82,0.74,2MASS J06411840-4322329 [de]
56,V382 Carinae,"08,900",20,485,DENIS-P J0652197-253450 [de]
57,Eta Carinae,"07,500",100,60–881,2MASS J07075327-4900503
58,Delta Cephei,0887,4.5,44.5,UGPS J072227.51-054031.2
59,Mu Cephei,"06,000",19.2,972,2MASSI J0727182+171001 [de]
60,Titawin,044.25,1.27,1.48,2MASS J07290002-3954043 [de]
61,Rho Cassiopeiae,"08,154",22,636-981,SDSS J074201.41+205520.5 [de]
62,P Cygni,"05,545",30,76,DENIS-P J0751164-253043 [de]
64,VV Cephei,"04,900",18.2,"516 - 1,050",DENIS J081730.0-615520
65,61 Cygni,011.41,0.7,0.665,2MASS J08251968+2115521 [de]
66,R Doradus,0178,0.7 - 1.0,298,SDSSp J083008.12+482847.4 [de]
67,Polaris Australis,0281,1.59,3.74,LHS 2021
68,R Coronae Borealis,"04,566",0.85,85,SDSS J083048.80+012831.1 [de]
69,54 Piscium,036.1,0.76,0.94,2MASSI J0835425-081923 [de]
70,Mira,0300,1.2,370,2MASSI J0847287-153237 [de]
71,RW Cephei,"014,000",13.9,"1,158",2MASS J08533619-0329321
72,Lacaille 8760,012.87,0.6,0.51,2MASSI J0859254-194926 [de]
73,V838 Monocerotis,"019,896",?,380 - 750,2MASSI J0937347+293142
